review_text,rating
Have not used these yet as they are Christmas gifts,4
Awesome for cold/iced drinks! Keeps ice cubes from melting fast. Love this product! I wish they have a set for each design though.,5
"The tablet works fine. It is responsive with good resolution. It is too tied to Amazon. It requires too many hoops to get apps such as Zinio to work. Until Amazon loosens its grip, I recommend only at a very good price.",3
"I enjoy the new kindle, only things I would like to change is the way screen darkens and lightens while reading. Not sure how to stop that. Occurs consistently. Also, would like to stop the ads seen each and every time kindle is turned on to start reading again. That is bothersome. Otherwise, am happy with the kindle.",4
Will not seem to charge all the way and this is my 7th Kindlle.,2
These batteries don't last even in a simple digital clock. 2 weeks at best.,1
Didn't have some of the features I was looking for. Returned it the next day. May be good for others,2
It all of a sudden has stoped charging I have only used it a few times in the short time off purchase. Can I get a replacement or how best can I be helped,3
"At least half of this batch had no charge, or at least so little that they died within an hour of being put in a walkie-talkie. Very disappointed",2
My wife wanted an iPad. I bought her this because it was cheaper and good for reading and playing games. She uses iOS products so it's not compatible. She hardly ever uses it. Next time I'll get what she wants and not waste my money.,2
Love this tablet. Power lasts long. Short charge time. HD screen is really clear. Only con is that there are some apps not available like Google play. Very satified. Have a 128gb card in mine . Plenty of space for downloads. The camera has no flash and is not the best but I didnt buy this tablet for that. High recommend the HD tablet 8gb amazon fire. You want go wrong.,5
"not good, hate it , never buy it again, sucks. done",1
"I've been using these on my roku remote and the lifespan is terrible. About two weeks, when Duracell's have been 1-2 months",1
"In my opinion these did not last anywhere near as long as Duracel in things like LED candles (which is crazy) and trail cameras. Cameras were not exposed to cold temps more or less than other batteries. WE buy in bulk for the north house. Amazon Basics is great for things like sheets and beeding and towels. In my opinion the battery life, in the large package of aaa and aa size we purchased were lacking.",2
"Date on the back of these were 1992. Yeah, 1992. Inedible.",1
"In my opinion these did not last anywhere near as long as Duracel in things like LED candles (which is crazy) and trail cameras. Cameras were not exposed to cold temps more or less than other batteries. WE buy in bulk for the north house. Amazon Basics is great for things like sheets and beeding and towels. In my opinion the battery life, in the large package of aaa and aa size we purchased were lacking.",2
This device is good for entry level reader only in daylight.Its doesnot support reading in dark. To read in dark you will have to purchase a light or cover case with light attached. I either case it will put a lot of strain in your eyes.,3
Adequate performance. I just pulled 16 batteries from four night lights. Half of these were the AmazonBasics AA batteries. Not surprising until I tell you that that AmazonBasics batteries were the last to be installed and the other half were installed long before the AmazonBasics. I don't think I'll buy these again.,3
"Terrible. Just changed the batteries on my wireless keyboard... yesterday. Already dead. Put another set in low powered christmas lights. Dead in about an hour. (I have another identical christmas light set, powered by Energizer batteries. Still going after many many days of running).Unfortunately bought the 48 pack. Won't make this mistake again.",1
It may be cheap but this is a great tablet and works awesome.,5
Lotta batteries. at a good price.,5
"This was a gift for my mother who is 99 years. She used to love puzzles, but with arthritis and failing eyesight she couldn't do them. The puzzle app is good because she can see it and use finger to slide pieces. She can keep up with family on Facebook",5
Many of the batteries are no good.,1
Just got them so i really wont kno for a few eeeks or so how good these batteries are,3
My 8 year old loves this so much to do on it. She enjoys reading on it play games .,4
I liked it at first except the browser is kind of clunky. Also you can. It use all android Apps. The worst thing though was mine just stopped working in the middle of watching a movie on a long plane flight. It was fully charged. I have tried recharging and turning on etc. it is just a blank screen and off. Kind of a cool paperweight. Hope I can get my money back. Or get a new one.,1
Does not last as long as Duracell quantum. These were sent as a supplement,2
"I went with this tablet based on many good customer reviews, but my experience was not a good one. From the start I was on the phone every day for at least an hour with Amazon tech support for one issue or another. Most of the techs were very polite, but not all knew the product very well. At one point I asked one of them about trying to save some RAM and they kept referring me to the storage, which told me they didn't even know the difference between RAM and regular storage. The internet browser was basic and it ran very slow at times, even when all my other wifi devices ran great. Then a day would pass and I'd be trying to type an email and the keyboard would just stop working...wtf??? Come to find out it's a ""known issue"" and ""they're working on it"". After two weeks of one thing after another I got fed up and just returned it. I wanted it to work, and gave it a good run, but just not quality stuff. To me it was like Walmart trying to build their own computer when they're obviously not a computer manufacturer, neither is Amazon. If I were you I'd look at a regular Android tablet from a reputable PC manufacturer, which is exactly what I did next. I got an ASUS tablet for only a few dollars more, and it's unbelievable. 1000% better in comparison to the Amazon Fire HD8. Save yourself the aggravation and go with ASUS or some other company that is specifically in the computer business full time. Sorry Amazon, not this time!",1
I bought my Kindle about 2 months ago and the battery is already dead and will not charge,4
Theses did not work. Wanted to make sure I had batteries for the item I was purchasing but they did not work. I had to dig some out of my junk drawer.,1
"Amazon you rock! These work better than name brand batteries and cost nothing. Have the same nice feel of expensive batteries too. Perfect in my opinion, will re purchase!",5
"I have always gone to buy a kindle because I like the books and th games available. But I found them very unpredictable and unreliable. The color burns futon screen, then the screens starts jumping. As a result I have purchased 8 over the years. Not sure if Want to go through that for the 9th time!",2
"Upgraded from a standard Fire tablet. Better screen, a bit faster than standard Fire.",5
"If you shop on Amazon all the time, this will help make it easier still. Lots of ads pop up, and you can't use apps from non-Amazon sources unless you root it, and that is complicated. This is not a realistic alternative to an iPad or Galaxy Note. If you just want to a device to shop on Amazon with, you'll love it.",2
These do not last long at all very cheap batteries no happy,1
"Fine for reading, ...haven't used it for anything else yet",3
During my first recharging they were leaking and wrapping was coming off. A waste of money,1
"What we expected, a bargain battery, so we are happy.",3
Awful poor performance. My mouse ran for several weeks to several months from Duracells but have never gotten more that several days from these. Will not buy again.,1
Needed some more batteries for the home and these were reasonably priced. Have been using for a week and so far they are working well.,4
AOK-AS ORDERED,5
"The Amazon fire tablet is an excellent product. I primarily use it to purchase and read books from Kindle. Also, I use it for my Facebook activity. The battery life is long and it recharges quickly. My 10 year old son also enjoys using it. I would highly recommend this product to others.",5
During my first recharging they were leaking and wrapping was coming off. A waste of money,1
Much harder to work than an android. None of the wallpaper apps I downloaded from the kindle store work on the device. many of the other apps look cheap on the display. other wise it is prettier and more responsive than the cheaper $49 tablet. They make it look like an android tablet but it is not. no google play. Everything is just harder to work than on a regular android BUT for a tablet under $100 it exceeds expectations. It is more responsive than other models of fire,3
"Tried these for the first time last night. Played indoor with my wife and 12 and 6 year old daughters. Awesome time! Beats sitting around the table playing a board game. I will check back in the Spring to see if they are still working. So far, I highly recommend.",5
ok for price a little slow and doesn't have as many apps as google play.,3
Simple and easy to use!! The wife takes it everywhere!,5
"This is a good product for video, surfing and reading. However this version has dropped all android support as far as I can tell. I have a couple of apps that run on my old Fire just fine but are extremely problematic on this one. There is one app I use everyday but it doesn't work on this new Fire, so I have to keep the old one around. Kind of inconvenient. I would recommend seeing if your app is supported on this Fire before dropping the money.",3
"Fine for reading, ...haven't used it for anything else yet",3
Does not last as long as Duracell quantum. These were sent as a supplement,2
Will not seem to charge all the way and this is my 7th Kindlle.,2
"This is a good product for video, surfing and reading. However this version has dropped all android support as far as I can tell. I have a couple of apps that run on my old Fire just fine but are extremely problematic on this one. There is one app I use everyday but it doesn't work on this new Fire, so I have to keep the old one around. Kind of inconvenient. I would recommend seeing if your app is supported on this Fire before dropping the money.",3
She loves it . it's the best thing we could of ever brought her,5
"At least half of this batch had no charge, or at least so little that they died within an hour of being put in a walkie-talkie. Very disappointed",2
Nicer than my old fire. Better screen area to view,5
i like the features it has and it is easy to navigate.,4
the first worked fine for three weeks then stopped. took back and got a replacement. this one lasted almost a month. again took it back and was told I had to deal with Amazon.Found out thru Amazon webpage that units simply froze up and how to reset it. Was upset that store associate knew nothing about the product. Had to research everything myself.,3
"As I reviewed different tablets, this tablet kept coming back as my best option for the items I was looking for. It IS a great tablet, but there are a few things I don't really like about it. I didn't realize that Amazon has it's OWN browser SILK. Everything even your banking info goes through Amazon. Not sure I like that. Also, items don't automatically close out when you leave a page and I have to frequently hit the button on the bottom and close out multiple items. It might just be that I am not THAT computer savoy, though I do know how to navigate my way around. Sometimes the touch feature just seems to freeze and won't recognize that I am attempting 'touch'. Lastly, the on/off button is right where you hold the tablet on the side, so I am often 'accidently' shutting it down. Most annoying! Overall, I am happy with my purchase and for the price I like it. Just wanted to point out the other items.",4
Easy to use. Good size. Great eReader. Not so expensive that I worry about my kids using it.,4
I don't know if I would buy thus brand again seems like they don't last as long as Duracell,1
"This Kindle is so overloaded with apps that I will never use. Despite what one of Best Buys' associates said, you cannot remove any of the Amazon apps. The apps take up too much of the memory. I have an I Pad and love but bought this as a backup for work. Unfortunately, it bogs down. I also don't like that Amazon wants access to too much info to set up email, so I won't use this for emails either. I will likely sell it on Craig's List for less than half of what I paid for it.",1
"Use these in a wireless BT mouse. Has about 30 less life as copper top brand. Good price, but most likely will not buy again.",2
"These are budget friendly but don't last! I bought for my battery operated candles that typically use batteries for 6-8 weeks. Twice these batteries barely lasted 1 week. It was so disappointing. Amazon produce are usually so good, but I would not recommend these.",1
Good amount of battery for the price.But they are not as long lasting as Duracell,4
"First time I bought these they worked well and lasted almost as long as the name brands. Not the same this time around, almost no charge - 4-6 hours of run time - Junk batteries.",1
I more than recommend this purchase. I encourage it. The batteries work great. A bargain at the price and how many you get. I won't be buying batteries anywhere else again.,5
i bought this as a backup. I am currently using the same headphone.,4
"For the price it can't be beat. That being said I had to return mine after a week. I just couldn't get over the low resolution screen. It works well for movies and the Web, but I needed it to also show off my photos to others.",3
Great batteries for the money,5
TERRIBLE! Barely lasted three hours during a digital camera shoot where Duracell lasts multiple days.,2
These batteries won't last long. An led flashlight will drain them in a hurry. I usually like Amazon products but this is one to avoid.,2
TERRIBLE! Barely lasted three hours during a digital camera shoot where Duracell lasts multiple days.,2
"This tablet is great for books, audible books, music and all things Amazon. The included browser (Silk) is not the best. I purchased expanded memory (64GB SD card) for about $30 more and a cover for about $20. The biggest issue I have with this unit is that it is slow (when compared to an iPad) and it tends to freeze every so often. For about 2.5x more money, consider an iPad instead.",3
"Use these in a wireless BT mouse. Has about 30 less life as copper top brand. Good price, but most likely will not buy again.",2
"I had fire hdx 8 and loved it, unfortunately got damaged and could not replace. I purchased the fire HD 8 and exchanged n pay difference for fire HD 10. The 8 did not have a lot of options I was used to. :(",3
Purchased this for my daughter to do more reading. It has so much more options for her if she wants.,5
"I went with this tablet based on many good customer reviews, but my experience was not a good one. From the start I was on the phone every day for at least an hour with Amazon tech support for one issue or another. Most of the techs were very polite, but not all knew the product very well. At one point I asked one of them about trying to save some RAM and they kept referring me to the storage, which told me they didn't even know the difference between RAM and regular storage. The internet browser was basic and it ran very slow at times, even when all my other wifi devices ran great. Then a day would pass and I'd be trying to type an email and the keyboard would just stop working...wtf??? Come to find out it's a ""known issue"" and ""they're working on it"". After two weeks of one thing after another I got fed up and just returned it. I wanted it to work, and gave it a good run, but just not quality stuff. To me it was like Walmart trying to build their own computer when they're obviously not a computer manufacturer, neither is Amazon. If I were you I'd look at a regular Android tablet from a reputable PC manufacturer, which is exactly what I did next. I got an ASUS tablet for only a few dollars more, and it's unbelievable. 1000% better in comparison to the Amazon Fire HD8. Save yourself the aggravation and go with ASUS or some other company that is specifically in the computer business full time. Sorry Amazon, not this time!",1
Works well. Easy to use. Battery seems to be good. Would buy again.,4
"Bought this for my dad, he is 87. Very easy to use and setup. He loves it and uses it 3/4 hours a day",4
"If you don't want or need something cheaper than an iPad but of quality, this is a great happy medium.The processor makes for a fluid ride with it. It's speedy. The Android Store gives you good app options and the Amazon ecosphere is everywhere here.The software is a touch buggy but it's still a great deal of a tablet.For a child, for something you want to use casually on a dime, it's recommended.",4
The Amazon batteries seems to have an acceptably long life compared to much more expensive brand names. My one complaint is that they recently upsized the box the smaller package was much more convenient to store the batteries in.,5
"At least half of this batch had no charge, or at least so little that they died within an hour of being put in a walkie-talkie. Very disappointed",2
They for really fast,2
These were OK. I don't think I'll but them in the future. I prefer Energizers.,2
Does not last as long as Duracell quantum. These were sent as a supplement,2
These batteries don't last even in a simple digital clock. 2 weeks at best.,1
"My 37 days old Amazon fire stick quit working, the system was fine it just seemed like the remote wasn't getting any juice. Tried 3 different sets of these batteries in it and it still wouldn't work-and yes, I put them in the right way. Contacted Amazon about the limited warranty on remote as it was just past 30 days purchased and couldn't return, but before sending back for warranty service and being without TV for who knows how long and just to make sure, I bought some energizer batteries. Wouldn't you know it, the remote fired right back up. Can't trust these batteries.",1
Very nice for reading and watching videos. Strong wi fi is a must. Slippery to hold so buy a cover,4
"This tablet is great for books, audible books, music and all things Amazon. The included browser (Silk) is not the best. I purchased expanded memory (64GB SD card) for about $30 more and a cover for about $20. The biggest issue I have with this unit is that it is slow (when compared to an iPad) and it tends to freeze every so often. For about 2.5x more money, consider an iPad instead.",3
I bought this tablet for my 4 year old daughter. Too many advertisements. I would rather pay more and not have a single ad.,1
Looking at the picture and seeing it was 8th generation I assumed it would be a great device. I had an original Kindle but I stopped using it because it wasn't backlit. I thought an 8th generation would be backlit and the picture makes it look backlit but it is not. After 25 minutes on the phone with Amazon trying to make it brighter the technician finally realized that 8th generation is not supported with backlights. I took it back to Target and purchased The Paperwhite which was more money but definitely worth it. The 8th generation one is smaller so I assumed that was the reason for the price difference. Target made the experience pleasant.,1
"This is a pretty cool little device. Im able to download books through wireless and read them later at my convenience. Only drawback is I wish it had more storage. But for the price, it works good.",3
I bought the kindle fire 8 for my husband and I to use. Neither one of us have been able to figure out how to use it. Every time we open it advertisements pop up. And we just try buttons to remove it. We cannot get it to rotate for our puzzles. Just too complicated to use and to navigate around. I will be returning it. We have an iPad and it's much easier.,1
"Worse graphics, won't keep a wireless connection,overall not satisfied",3
"For the price this is perfect. I read books, search the web, watch Netflix. It's not an iPad but for the price it is amazing!",5
These batteries won't last long. An led flashlight will drain them in a hurry. I usually like Amazon products but this is one to avoid.,2
It all of a sudden has stoped charging I have only used it a few times in the short time off purchase. Can I get a replacement or how best can I be helped,3
"Though I have got it for cheap price during black friday, this Fire is not that great. Very bad camera and dim screen resolution. Pros:Install Google Play without any hassleVery good book reading option",3
They for really fast,2
"These are budget friendly but don't last! I bought for my battery operated candles that typically use batteries for 6-8 weeks. Twice these batteries barely lasted 1 week. It was so disappointing. Amazon produce are usually so good, but I would not recommend these.",1
"This was a good tablet. I bought it for my Gf who basically only wanted it for Netflix and YouTube. The display was good, not great. The issue we had was that it kept dropping the wifi connection. This could have been a defect in this one tablet but we returned it and got another one.",3
Will not seem to charge all the way and this is my 7th Kindlle.,2
Overall a nice product for traveling purposes Value for money,4
"The HD8 and HD7 are amazing for the price. They aren't top powered tablets, but they're functional tablets. Right now, in Feb 2017, either one is a good replacement for the Nexus 7.",5
"Batteries can be expensive! However, Amazon has taken the opportunity to sell a good quality product. There are plenty of batteries for the cost, and in these times of uncertainty we need to be prepared for our family. During times of power outage batteries are so comforting because they allow us to maintain a sense comfort. They also sell these in triple a, c, and d. The price is good compared to other brands, and the quality of Amazon is backing the product. Safe and good buy for any consumer.",5
"Great Kindle fire, works great for reading, playing games, etc. Highly recommend to everyone.",5
Many of the batteries are no good.,1
This tablet could be so much better if the apps actually worked decently. The built in Amazon pieces for Prime members is great and work flawlessly. But it's not enough to overcome the terrible app behavior and countless freezes.  They need to take a lesson or two from Apple.,2
Love it! I'm not computer savy but was able to figure out most things without any help.,5
"This tablet is great for books, audible books, music and all things Amazon. The included browser (Silk) is not the best. I purchased expanded memory (64GB SD card) for about $30 more and a cover for about $20. The biggest issue I have with this unit is that it is slow (when compared to an iPad) and it tends to freeze every so often. For about 2.5x more money, consider an iPad instead.",3
"I love hear readers, I had to replace mine because I destroyed the last, but it is awesome",4
Didn't have some of the features I was looking for. Returned it the next day. May be good for others,2
Adequate performance. I just pulled 16 batteries from four night lights. Half of these were the AmazonBasics AA batteries. Not surprising until I tell you that that AmazonBasics batteries were the last to be installed and the other half were installed long before the AmazonBasics. I don't think I'll buy these again.,3
It does its job but I would buy one which the screen is brighter. There are times that it's difficult to read because screen is not too bright,3
Bought for wife who is not into the techie word. She likes it - suggest buying a protective screen and padded case for it.,4
"If you shop on Amazon all the time, this will help make it easier still. Lots of ads pop up, and you can't use apps from non-Amazon sources unless you root it, and that is complicated. This is not a realistic alternative to an iPad or Galaxy Note. If you just want to a device to shop on Amazon with, you'll love it.",2
good price for the product. I purchased for my middle school son.,4
Tablet stopped working after owning for two weeks. Came back on after an hour.,3
As expected. Batteries at a good price. Batteries come in a brown box. Inside the batteries are in groups of 4.,4
These do not last long at all very cheap batteries no happy,1
"Use these in a wireless BT mouse. Has about 30 less life as copper top brand. Good price, but most likely will not buy again.",2
My wife wanted an iPad. I bought her this because it was cheaper and good for reading and playing games. She uses iOS products so it's not compatible. She hardly ever uses it. Next time I'll get what she wants and not waste my money.,2
We bought it two days before it went on sale for Christmas and Best Buy was excellent with price matching,5
Batteries don't last very long compared to Duracell or Energizer,3
"They didn't last very long in my cheap camera. With them not being lithium I didn't expect them to last forever, but I should of gotten more then a days use out of them. In my Xbox controller they lasted an adequate amount of time. So all in all these definitely aren't for heavy use and the price point reflects that.",3
"My 37 days old Amazon fire stick quit working, the system was fine it just seemed like the remote wasn't getting any juice. Tried 3 different sets of these batteries in it and it still wouldn't work-and yes, I put them in the right way. Contacted Amazon about the limited warranty on remote as it was just past 30 days purchased and couldn't return, but before sending back for warranty service and being without TV for who knows how long and just to make sure, I bought some energizer batteries. Wouldn't you know it, the remote fired right back up. Can't trust these batteries.",1
"I can only use these on those indoor flameless candles and even then, they dont last very long...a little disappointed...",2
These were OK. I don't think I'll but them in the future. I prefer Energizers.,2
"If ads dont bother you, then this may be a decent device. Purchased this for my kid and it was loaded down with so much spam, it kept loading it up making it slow and laggy. Plus the carrasoul loadout makes it hard to navigate for kids, not very kid friendly! Oh you can pay $15 to remove the ads but it wont remove them all. Buy the samsung, better everything!",1
Didn't have some of the features I was looking for. Returned it the next day. May be good for others,2
Didn't have some of the features I was looking for. Returned it the next day. May be good for others,2
"I ""retired"" an earlier version and this new souped up model more than meets my needs, and the battery lasts so much longer!!",5
Much harder to work than an android. None of the wallpaper apps I downloaded from the kindle store work on the device. many of the other apps look cheap on the display. other wise it is prettier and more responsive than the cheaper $49 tablet. They make it look like an android tablet but it is not. no google play. Everything is just harder to work than on a regular android BUT for a tablet under $100 it exceeds expectations. It is more responsive than other models of fire,3
got this for my nieces aged 6-13 they loved it and so did their parents really keeps them occupied,5
I enjoy using the tablet. I use it when I am biking.,4
This is not a bad product. Amazon offers greats products but this tablet was missing features even for a basic tablet. The lack of google chrome compatibility made this tablet not right for me.,1
"Fine for reading, ...haven't used it for anything else yet",3
"Maybe mine is a bad batch, had a serious leak on one of them, these batteries seem to last as long as duracells but duracells never leaked in my experience",2
I wanted a new kindle fir a while. The price was right,4
"Maybe mine is a bad batch, had a serious leak on one of them, these batteries seem to last as long as duracells but duracells never leaked in my experience",2
"If you need a basic tablet then the fire works. It falls apart when compared to the iPad mini from a usability, functionality and available apps standpoint.",2
"Maybe mine is a bad batch, had a serious leak on one of them, these batteries seem to last as long as duracells but duracells never leaked in my experience",2
all dead,1
"Fine for reading, ...haven't used it for anything else yet",3
"We purchased this as a replacement for our now-broken iPad. Though we liked the smaller size (more convenient, easier to carry, etc), the internet was sooooooo slowwwwww that it drove us crazy. Sometimes minutes to download a site (and this with no other apps open!1). Plan to go back to another iPad.",2
"This tablet is great for books, audible books, music and all things Amazon. The included browser (Silk) is not the best. I purchased expanded memory (64GB SD card) for about $30 more and a cover for about $20. The biggest issue I have with this unit is that it is slow (when compared to an iPad) and it tends to freeze every so often. For about 2.5x more money, consider an iPad instead.",3
Easy to follow directions allowed her to set it up with me watching over her shoulder.,4
Just what my wife wanted and needed she loved it! It is easy to use and simple to set up!,5
"these were under a light we thought they were there to fit the light when they arrived and nice company they were not the batteries we needed it should have been aa but that is ok,it was our fault not knowing this. thanks..",3
"Terrible. Just changed the batteries on my wireless keyboard... yesterday. Already dead. Put another set in low powered christmas lights. Dead in about an hour. (I have another identical christmas light set, powered by Energizer batteries. Still going after many many days of running).Unfortunately bought the 48 pack. Won't make this mistake again.",1
great for beginner or experienced person. Bought as a gift and she loves it,5
This thing lasted not even a month before it went dead. Going to try and take it back,1
Will not seem to charge all the way and this is my 7th Kindlle.,2
My wife wanted an iPad. I bought her this because it was cheaper and good for reading and playing games. She uses iOS products so it's not compatible. She hardly ever uses it. Next time I'll get what she wants and not waste my money.,2
Wish I didn't buy these. Amazon does a lot of things well but batteries No. Not so much. These do not work for more than a moment. Lay the extra for name brand.,1
I didn't do any in depth research on this particular tablet. The price and speed were good for what I wanted it for. My only con is not being able to clear the home screen of apps or relocate them so I can see my personal home screen picture.,3
These batteries won't last long. An led flashlight will drain them in a hurry. I usually like Amazon products but this is one to avoid.,2
"Had it for about a week and now it won't take charge, tried new chargers and still not taking charge. Happy with tablet but unhappy about not chatging",2
"If you shop on Amazon all the time, this will help make it easier still. Lots of ads pop up, and you can't use apps from non-Amazon sources unless you root it, and that is complicated. This is not a realistic alternative to an iPad or Galaxy Note. If you just want to a device to shop on Amazon with, you'll love it.",2
Much harder to work than an android. None of the wallpaper apps I downloaded from the kindle store work on the device. many of the other apps look cheap on the display. other wise it is prettier and more responsive than the cheaper $49 tablet. They make it look like an android tablet but it is not. no google play. Everything is just harder to work than on a regular android BUT for a tablet under $100 it exceeds expectations. It is more responsive than other models of fire,3
it would not load my books proper. took a dozen tries erasing an dreregistering. screen too dark,2
As expected.,3
Great tablet fast screen good size never gives me problem,5
"not good, hate it , never buy it again, sucks. done",1
"The tablet works fine. It is responsive with good resolution. It is too tied to Amazon. It requires too many hoops to get apps such as Zinio to work. Until Amazon loosens its grip, I recommend only at a very good price.",3
All the batteries came dead so I did a return and got new ones. Second order was the same as the first.Update: still have yet to receive refund from second order after several weeks!!!,1
"This is the second Fire tablet that I have purchased. The first I returned in after I was not able to load YouTube onto the tablet. Amazon's take on Android was just to unfriendly to make it work. With this new tablet, Amazon has heard my concern and now I'm enjoying this tablet. It's well built for a sub-$100 device, but won't stand up to a lot of abuse.",3
"Lasted about a week in my electric toothbrush. Energizer and Duracell brand lasted a month. Tried with 4 different Amazon batteries, same results. Very dissatisfied",1
Not a good product short battery life i can only use for 20 minutes,2
These last as well as Energizer- half the price.,5
I don't know if I would buy thus brand again seems like they don't last as long as Duracell,1
"Worse graphics, won't keep a wireless connection,overall not satisfied",3
"I use it mainly for reading e-books and browsing. However, I wished there were more apps available. Also, before unlocking the tablet, ads are shown in the lockscreen. If the tab is locked, it stops streaming the ads. You can pay $15 to disable the ads permanently. I only recommend this for basic use. If you want to use it for games or other apps, I would recommend a stronger tablet like the ipad or samsung galaxy.",4
"great price, very good batteries",5
"The tablet works fine. It is responsive with good resolution. It is too tied to Amazon. It requires too many hoops to get apps such as Zinio to work. Until Amazon loosens its grip, I recommend only at a very good price.",3
Wrong item.,1
"Fine for reading, ...haven't used it for anything else yet",3
"Reciever of this really likes and and says its a step up from the fire hd7, so I guess that is what counts.",4
I am very happy with this tablet. The worst thing is that my steals it all the time. Lol,5
"These are budget friendly but don't last! I bought for my battery operated candles that typically use batteries for 6-8 weeks. Twice these batteries barely lasted 1 week. It was so disappointing. Amazon produce are usually so good, but I would not recommend these.",1
Sorry to say I've been disappointed with these. They didn't last as long in my remotes and RC transmitters as even other store brand alkaline batteries.,3
Didn't have some of the features I was looking for. Returned it the next day. May be good for others,2
This device is good for entry level reader only in daylight.Its doesnot support reading in dark. To read in dark you will have to purchase a light or cover case with light attached. I either case it will put a lot of strain in your eyes.,3
"This tablet is great for books, audible books, music and all things Amazon. The included browser (Silk) is not the best. I purchased expanded memory (64GB SD card) for about $30 more and a cover for about $20. The biggest issue I have with this unit is that it is slow (when compared to an iPad) and it tends to freeze every so often. For about 2.5x more money, consider an iPad instead.",3
Great 8 inches tablet with and amazing storage for apps.,4
Does not last as long as Duracell quantum. These were sent as a supplement,2
"We use battery operated candles with timers. The batteries normally have to be changed once a month. These cheap batteries lasted 2 weeks. I thought these batteries were a good deal, but I was wrong.",2
"These do not hold the amount of high power juice like energizer or duracell, but they are half the price.",3
They don't last as long as the brand name but are good enough considering they are much cheaper.,4
"This was a good tablet. I bought it for my Gf who basically only wanted it for Netflix and YouTube. The display was good, not great. The issue we had was that it kept dropping the wifi connection. This could have been a defect in this one tablet but we returned it and got another one.",3
"Was worried these might be low quality, but they have performed about as well as premium brand batteries. Will reorder when more are needed. Can't comment on leak resistance yet, but everything else seems top notch.",5
"For the price it can't be beat. That being said I had to return mine after a week. I just couldn't get over the low resolution screen. It works well for movies and the Web, but I needed it to also show off my photos to others.",3
